LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),,grammar rules,numberOfQuestions
birthPlace_of,noun,birth place,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,"What (dbo:Place, X) is the birth place/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthPlace ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthPlace ?X.},"the birth place of (dbo:Person,Y) ",,2,
height_of,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Person,xsd:double,"What (xsd:double, X) is the height/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:height ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:height ?X.},"the height of (dbo:Person,Y) ",,2,
deathPlace_of,noun,death place,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,dbo:Place,"What (dbo:Place, X) is the death place/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathPlace ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathPlace ?X.},"the death place of (dbo:Person,Y) ",,2,
father_of,noun,father,-,of,NounPPFrame,range,domain,1,dbo:father,dbo:Person,dbo:Person,"What (dbo:Person, X) is the father/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:father ?X.},"Who (dbo:Person, X) is the father of (dbo:Person,Y?) (X dbo:father Y)",SELECT ?X WHERE { Y dbo:father ?X.},"List the (dbo:Person, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:father ?X.},"the father of (dbo:Person,Y) ",,2,
successor-of,noun,successor,-,of,NounPPFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,"What (dbo:Person, X) is the successor/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:successor ?X.},"Which person,Who (dbo:Person, X) is,was the successor of (dbo:Person,Y?) (X dbo:successor Y)",SELECT ?X WHERE { Y dbo:successor ?X.},"List the (dbo:Person, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:successor ?X.},"the successor of (dbo:Person,Y) ",,2,
residence-of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,-,SELECT ?X WHERE { Y dbo:residence ?X.},"Which person,Who (dbo:Person, X) is,was the residence of (dbo:Place,Y?) (X dbo:residence Y)",SELECT ?X WHERE { Y dbo:residence ?X.},"List the (dbo:Person, X) residences of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:residence ?X.},"the residence of (dbo:Place,Y) ",,2,
partner-of,noun,partner,partners,of,NounPPFrame,range,domain,1,dbo:partner,dbo:Person,dbo:Person,-,SELECT ?X WHERE { Y dbo:partner ?X.},"Which person,Who (dbo:Person, X) is,was the partner of (dbo:Person,Y?) (X dbo:partner Y)",SELECT ?X WHERE { Y dbo:partner ?X.},"List the (dbo:Person, X) partners of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:partner ?X.},"the partner of (dbo:Person,Y) ",,2,
spouse-of,noun,spouse,spouses,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,-,SELECT ?X WHERE { Y dbo:spouse ?X.},"Which person,Who (dbo:Person, X) is,was the spouse of (dbo:Person,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"List the (dbo:Person, X) spouses of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"the spouse of (dbo:Person,Y) ",,2,
birthDate-of,noun,birth date,-,of,NounPPFrame,range,domain,1,dbo:birthDate,dbo:Person,https://www.w3.org/2001/XMLSchema#date,"What (https://www.w3.org/2001/XMLSchema#date, X) is the birth date/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthDate ?X.},FALSE,FALSE,"List the (https://www.w3.org/2001/XMLSchema#date, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthDate ?X.},"the birth date of (dbo:Person,Y) ",,2,
education-of,noun,education,-,of,NounPPFrame,range,domain,1,dbo:education,dbo:Person,xsd:string,"What (xsd:string, X) is the education/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:education ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:education ?X.},"the education of (dbo:Person,Y) ",,2,
