"id","question","sparql","answer","frame"
"0","Give me the birth place of A.Chal?","select  ?o    {    <http://dbpedia.org/resource/A.Chal> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Peru","NPP"
"1","Tell me the birth place of A.Chal?","select  ?o    {    <http://dbpedia.org/resource/A.Chal> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Peru","NPP"
"2","What is the birth place of A.Chal?","select  ?o    {    <http://dbpedia.org/resource/A.Chal> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Peru","NPP"
"3","What was the birth place of A.Chal?","select  ?o    {    <http://dbpedia.org/resource/A.Chal> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Peru","NPP"
"4","Which place is the birth place of A.Chal?","select  ?o    {    <http://dbpedia.org/resource/A.Chal> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Peru","NPP"
"5","Which place was the birth place of A.Chal?","select  ?o    {    <http://dbpedia.org/resource/A.Chal> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Peru","NPP"
"6","Give me the birth place of A.D.O.R.?","select  ?o    {    <http://dbpedia.org/resource/A.D.O.R.> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York City","NPP"
"7","Tell me the birth place of A.D.O.R.?","select  ?o    {    <http://dbpedia.org/resource/A.D.O.R.> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York City","NPP"
"8","What is the birth place of A.D.O.R.?","select  ?o    {    <http://dbpedia.org/resource/A.D.O.R.> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York City","NPP"
"9","What was the birth place of A.D.O.R.?","select  ?o    {    <http://dbpedia.org/resource/A.D.O.R.> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York City","NPP"
"10","Which place is the birth place of A.D.O.R.?","select  ?o    {    <http://dbpedia.org/resource/A.D.O.R.> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York City","NPP"
"11","Which place was the birth place of A.D.O.R.?","select  ?o    {    <http://dbpedia.org/resource/A.D.O.R.> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York City","NPP"
"12","Give me the birth place of A.E. Dick Howard?","select  ?o    {    <http://dbpedia.org/resource/A.E._Dick_Howard> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Richmond, Virginia","NPP"
"13","Tell me the birth place of A.E. Dick Howard?","select  ?o    {    <http://dbpedia.org/resource/A.E._Dick_Howard> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Richmond, Virginia","NPP"
"14","What is the birth place of A.E. Dick Howard?","select  ?o    {    <http://dbpedia.org/resource/A.E._Dick_Howard> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Richmond, Virginia","NPP"
"15","What was the birth place of A.E. Dick Howard?","select  ?o    {    <http://dbpedia.org/resource/A.E._Dick_Howard> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Richmond, Virginia","NPP"
"16","Which place is the birth place of A.E. Dick Howard?","select  ?o    {    <http://dbpedia.org/resource/A.E._Dick_Howard> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Richmond, Virginia","NPP"
"17","Which place was the birth place of A.E. Dick Howard?","select  ?o    {    <http://dbpedia.org/resource/A.E._Dick_Howard> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Richmond, Virginia","NPP"
"18","Give me the birth place of A.E. Hanson?","select  ?o    {    <http://dbpedia.org/resource/A.E._Hanson> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Chino, California","NPP"
"19","Tell me the birth place of A.E. Hanson?","select  ?o    {    <http://dbpedia.org/resource/A.E._Hanson> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Chino, California","NPP"
"20","What is the birth place of A.E. Hanson?","select  ?o    {    <http://dbpedia.org/resource/A.E._Hanson> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Chino, California","NPP"
"21","What was the birth place of A.E. Hanson?","select  ?o    {    <http://dbpedia.org/resource/A.E._Hanson> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Chino, California","NPP"
"22","Which place is the birth place of A.E. Hanson?","select  ?o    {    <http://dbpedia.org/resource/A.E._Hanson> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Chino, California","NPP"
"23","Which place was the birth place of A.E. Hanson?","select  ?o    {    <http://dbpedia.org/resource/A.E._Hanson> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Chino, California","NPP"
"24","Give me the birth place of A.G. Syjuco?","select  ?o    {    <http://dbpedia.org/resource/A.G._Syjuco> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Manila","NPP"
"25","Tell me the birth place of A.G. Syjuco?","select  ?o    {    <http://dbpedia.org/resource/A.G._Syjuco> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Manila","NPP"
"26","What is the birth place of A.G. Syjuco?","select  ?o    {    <http://dbpedia.org/resource/A.G._Syjuco> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Manila","NPP"
"27","What was the birth place of A.G. Syjuco?","select  ?o    {    <http://dbpedia.org/resource/A.G._Syjuco> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Manila","NPP"
"28","Which place is the birth place of A.G. Syjuco?","select  ?o    {    <http://dbpedia.org/resource/A.G._Syjuco> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Manila","NPP"
"29","Which place was the birth place of A.G. Syjuco?","select  ?o    {    <http://dbpedia.org/resource/A.G._Syjuco> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Manila","NPP"
"30","Give me the birth place of A.J. Applegate?","select  ?o    {    <http://dbpedia.org/resource/A.J._Applegate> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York (state)","NPP"
"31","Tell me the birth place of A.J. Applegate?","select  ?o    {    <http://dbpedia.org/resource/A.J._Applegate> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York (state)","NPP"
"32","What is the birth place of A.J. Applegate?","select  ?o    {    <http://dbpedia.org/resource/A.J._Applegate> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York (state)","NPP"
"33","What was the birth place of A.J. Applegate?","select  ?o    {    <http://dbpedia.org/resource/A.J._Applegate> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York (state)","NPP"
"34","Which place is the birth place of A.J. Applegate?","select  ?o    {    <http://dbpedia.org/resource/A.J._Applegate> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York (state)","NPP"
"35","Which place was the birth place of A.J. Applegate?","select  ?o    {    <http://dbpedia.org/resource/A.J._Applegate> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York (state)","NPP"
"36","Give me the birth place of A.L. Monsohn Lithography?","select  ?o    {    <http://dbpedia.org/resource/A.L._Monsohn_Lithography> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Eretz Israel","NPP"
"37","Tell me the birth place of A.L. Monsohn Lithography?","select  ?o    {    <http://dbpedia.org/resource/A.L._Monsohn_Lithography> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Eretz Israel","NPP"
"38","What is the birth place of A.L. Monsohn Lithography?","select  ?o    {    <http://dbpedia.org/resource/A.L._Monsohn_Lithography> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Eretz Israel","NPP"
"39","What was the birth place of A.L. Monsohn Lithography?","select  ?o    {    <http://dbpedia.org/resource/A.L._Monsohn_Lithography> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Eretz Israel","NPP"
"40","Which place is the birth place of A.L. Monsohn Lithography?","select  ?o    {    <http://dbpedia.org/resource/A.L._Monsohn_Lithography> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Eretz Israel","NPP"
"41","Which place was the birth place of A.L. Monsohn Lithography?","select  ?o    {    <http://dbpedia.org/resource/A.L._Monsohn_Lithography> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Eretz Israel","NPP"
"42","Give me the birth place of A.M. Parkin?","select  ?o    {    <http://dbpedia.org/resource/A.M._Parkin> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Kent","NPP"
"43","Tell me the birth place of A.M. Parkin?","select  ?o    {    <http://dbpedia.org/resource/A.M._Parkin> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Kent","NPP"
"44","What is the birth place of A.M. Parkin?","select  ?o    {    <http://dbpedia.org/resource/A.M._Parkin> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Kent","NPP"
"45","What was the birth place of A.M. Parkin?","select  ?o    {    <http://dbpedia.org/resource/A.M._Parkin> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Kent","NPP"
"46","Which place is the birth place of A.M. Parkin?","select  ?o    {    <http://dbpedia.org/resource/A.M._Parkin> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Kent","NPP"
"47","Which place was the birth place of A.M. Parkin?","select  ?o    {    <http://dbpedia.org/resource/A.M._Parkin> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Kent","NPP"
"48","Give me the birth place of A.M. SNiPER?","select  ?o    {    <http://dbpedia.org/resource/A.M._SNiPER> <http://dbpedia.org/ontology/birthPlace>  ?o    }","England","NPP"
"49","Tell me the birth place of A.M. SNiPER?","select  ?o    {    <http://dbpedia.org/resource/A.M._SNiPER> <http://dbpedia.org/ontology/birthPlace>  ?o    }","England","NPP"
"50","What is the birth place of A.M. SNiPER?","select  ?o    {    <http://dbpedia.org/resource/A.M._SNiPER> <http://dbpedia.org/ontology/birthPlace>  ?o    }","England","NPP"
"51","What was the birth place of A.M. SNiPER?","select  ?o    {    <http://dbpedia.org/resource/A.M._SNiPER> <http://dbpedia.org/ontology/birthPlace>  ?o    }","England","NPP"
"52","Which place is the birth place of A.M. SNiPER?","select  ?o    {    <http://dbpedia.org/resource/A.M._SNiPER> <http://dbpedia.org/ontology/birthPlace>  ?o    }","England","NPP"
"53","Which place was the birth place of A.M. SNiPER?","select  ?o    {    <http://dbpedia.org/resource/A.M._SNiPER> <http://dbpedia.org/ontology/birthPlace>  ?o    }","England","NPP"
"55","the birth place of A.Chal","select  ?o    {    <http://dbpedia.org/resource/A.Chal> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Peru","NPP"
"56","the birth place of A.D.O.R.","select  ?o    {    <http://dbpedia.org/resource/A.D.O.R.> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York City","NPP"
"57","the birth place of A.E. Dick Howard","select  ?o    {    <http://dbpedia.org/resource/A.E._Dick_Howard> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Richmond, Virginia","NPP"
"58","the birth place of A.E. Hanson","select  ?o    {    <http://dbpedia.org/resource/A.E._Hanson> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Chino, California","NPP"
"59","the birth place of A.G. Syjuco","select  ?o    {    <http://dbpedia.org/resource/A.G._Syjuco> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Manila","NPP"
"60","the birth place of A.J. Applegate","select  ?o    {    <http://dbpedia.org/resource/A.J._Applegate> <http://dbpedia.org/ontology/birthPlace>  ?o    }","New York (state)","NPP"
"61","the birth place of A.L. Monsohn Lithography","select  ?o    {    <http://dbpedia.org/resource/A.L._Monsohn_Lithography> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Eretz Israel","NPP"
"62","the birth place of A.M. Parkin","select  ?o    {    <http://dbpedia.org/resource/A.M._Parkin> <http://dbpedia.org/ontology/birthPlace>  ?o    }","Kent","NPP"
"63","the birth place of A.M. SNiPER","select  ?o    {    <http://dbpedia.org/resource/A.M._SNiPER> <http://dbpedia.org/ontology/birthPlace>  ?o    }","England","NPP"
"65","Where is Luxembourg (canton) located?","select  ?o    {    <http://dbpedia.org/resource/Luxembourg_(canton)> <http://dbpedia.org/ontology/country>  ?o    }","Luxembourg","FULL_DATASET"
"66","Where is Luxembourg City located?","select  ?o    {    <http://dbpedia.org/resource/Luxembourg_City> <http://dbpedia.org/ontology/country>  ?o    }","Luxembourg","FULL_DATASET"
"67","Where is Luzon Strait located?","select  ?o    {    <http://dbpedia.org/resource/Luzon_Strait> <http://dbpedia.org/ontology/country>  ?o    }","Taiwan","FULL_DATASET"
"68","Where is Madiromirafy located?","select  ?o    {    <http://dbpedia.org/resource/Madiromirafy> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"69","Where is Madirovalo located?","select  ?o    {    <http://dbpedia.org/resource/Madirovalo> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"70","Where is Maevaranohely located?","select  ?o    {    <http://dbpedia.org/resource/Maevaranohely> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"71","Where is Maevatanana located?","select  ?o    {    <http://dbpedia.org/resource/Maevatanana> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"72","Where is Maevatanana (district) located?","select  ?o    {    <http://dbpedia.org/resource/Maevatanana_(district)> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"73","Where is Maevatanana II located?","select  ?o    {    <http://dbpedia.org/resource/Maevatanana_II> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
